ISO3,country,Continent,Hemisphere,Human Development Groups,UNDP Developing Regions,HDI Rank (2021),year,Expected Years of Schooling,region,happiness_score,gdp_per_capita,social_support,healthy_life_expectancy,freedom_to_make_life_choices,generosity,perceptions_of_corruption
MKD,North Macedonia,Europe,Northern Hemisphere,High,ECA,78.0,2017,13.58520031,Central and Eastern Europe,5.175000191,1.064577937,1.207893014,0.644948184,0.325905979,0.253760964,0.060277794
MLI,Mali,Africa,Northern Hemisphere,Low,SSA,186.0,2017,7.461060047,Sub-Saharan Africa,4.190000057,0.476180494,1.281473398,0.169365674,0.306613743,0.183354199,0.104970247
MLT,Malta,Europe,Northern Hemisphere,Very High,,23.0,2017,16.10407066,Western Europe,6.52699995,1.343279839,1.488411665,0.821944237,0.588767052,0.574730575,0.153066069
MMR,Myanmar,Asia,Northern Hemisphere,Medium,EAP,149.0,2017,10.44658947,Southeast Asia,4.545000076,0.36711055,1.123235941,0.397522569,0.514492035,0.838075161,0.188816205
MNE,Montenegro,Europe,Northern Hemisphere,Very High,ECA,49.0,2017,15.02132034,Central and Eastern Europe,5.236999989,1.121129036,1.238376498,0.667464674,0.194989055,0.197911024,0.088174194
MNG,Mongolia,Asia,Northern Hemisphere,High,EAP,96.0,2017,14.89244747,East Asia,4.954999924,1.027235866,1.493011236,0.557783484,0.394143969,0.33846423,0.032902289
MRT,Mauritania,Africa,Northern Hemisphere,Medium,SSA,158.0,2017,8.588339806,Sub-Saharan Africa,4.291999817,0.648457289,1.27203083,0.28534928,0.096098043,0.201870024,0.136957005
MUS,Mauritius,Africa,Southern Hemisphere,Very High,SSA,63.0,2017,15.05659962,Sub-Saharan Africa,5.629000187,1.189395547,1.20956099,0.638007462,0.491247326,0.360933751,0.042181555
MWI,Malawi,Africa,Southern Hemisphere,Low,SSA,169.0,2017,12.21168316,Sub-Saharan Africa,3.970000029,0.233442038,0.512568831,0.315089583,0.466914654,0.28717047,0.072711654
MYS,Malaysia,Asia,Northern Hemisphere,Very High,EAP,62.0,2017,13.67864037,Southeast Asia,6.084000111,1.29121542,1.284646034,0.618784428,0.402264982,0.41660893,0.065600708
NER,Niger,Africa,Northern Hemisphere,Low,SSA,189.0,2017,6.406770229,Sub-Saharan Africa,4.027999878,0.161925331,0.993025005,0.268505007,0.363658696,0.228673846,0.138572946
NGA,Nigeria,Africa,Northern Hemisphere,Low,SSA,163.0,2017,9.758482316,Sub-Saharan Africa,5.073999882,0.783756256,1.215770483,0.05691573,0.394952565,0.230947196,0.026121566
NIC,Nicaragua,America,Northern Hemisphere,Medium,LAC,126.0,2017,12.22731048,Latin America and Caribbean,6.071000099,0.737299204,1.28721571,0.653095961,0.447551847,0.301674217,0.130687982
NLD,Netherlands,Europe,Northern Hemisphere,Very High,,10.0,2017,18.48513031,Western Europe,7.376999855,1.503944635,1.428939223,0.810696125,0.585384488,0.47048983,0.282661825
NOR,Norway,Europe,Northern Hemisphere,Very High,,2.0,2017,18.06615067,Western Europe,7.537000179,1.616463184,1.53352356,0.796666503,0.635422587,0.362012237,0.315963835
NPL,Nepal,Asia,Northern Hemisphere,Medium,SA,143.0,2017,12.75613022,South Asia,4.961999893,0.479820192,1.179283261,0.504130781,0.440305948,0.394096166,0.072975546
NZL,New Zealand,Oceania,Southern Hemisphere,Very High,,13.0,2017,18.83856964,North America and ANZ,7.31400013,1.405706048,1.548195124,0.816759706,0.61406213,0.500005126,0.382816702
PAK,Pakistan,Asia,Northern Hemisphere,Low,SA,161.0,2017,7.931729794,South Asia,5.269000053,0.726883531,0.67269069,0.402047783,0.235215262,0.315446019,0.124348067
PAN,Panama,America,Northern Hemisphere,Very High,LAC,61.0,2017,12.95616796,Latin America and Caribbean,6.452000141,1.233748436,1.373192549,0.706156135,0.550026834,0.210556939,0.070983924
PER,Peru,America,Southern Hemisphere,High,LAC,84.0,2017,14.99071026,Latin America and Caribbean,5.715000153,1.035225272,1.218770385,0.630166113,0.450002879,0.126819715,0.047049087
PHL,Philippines,Asia,Northern Hemisphere,Medium,EAP,116.0,2017,13.14836025,Southeast Asia,5.429999828,0.857699215,1.253917575,0.468009055,0.585214674,0.193513423,0.099331893
POL,Poland,Europe,Northern Hemisphere,Very High,,34.0,2017,16.08062935,Central and Eastern Europe,5.97300005,1.291787863,1.44571197,0.699475348,0.520342112,0.158465967,0.059307806
PRT,Portugal,Europe,Northern Hemisphere,Very High,,38.0,2017,16.53578949,Western Europe,5.195000172,1.315175295,1.367043018,0.795843542,0.4984653,0.095102713,0.015869452
PRY,Paraguay,America,Southern Hemisphere,High,LAC,105.0,2017,12.70668574,Latin America and Caribbean,5.493000031,0.932537317,1.50728488,0.579250693,0.473507792,0.224150658,0.091065913
ROU,Romania,Europe,Northern Hemisphere,Very High,,53.0,2017,14.25988007,Central and Eastern Europe,5.824999809,1.217683911,1.15009129,0.685158312,0.457003742,0.133519918,0.004387901
SAU,Saudi Arabia,Asia,Northern Hemisphere,Very High,AS,35.0,2017,15.63002014,Middle East and North Africa,6.343999863,1.530623555,1.286677599,0.59014833,0.449750572,0.147616014,0.273432255
SEN,Senegal,Africa,Northern Hemisphere,Low,SSA,170.0,2017,9.057225227,Sub-Saharan Africa,4.534999847,0.479309022,1.179691911,0.409362853,0.377922267,0.183468893,0.115460448
SGP,Singapore,Asia,Northern Hemisphere,Very High,EAP,12.0,2017,16.44087982,Southeast Asia,6.572000027,1.69227767,1.353814363,0.949492395,0.549840569,0.345965981,0.464307785
SLE,Sierra Leone,Africa,Northern Hemisphere,Low,SSA,181.0,2017,9.445864977,Sub-Saharan Africa,4.709000111,0.368420929,0.984136045,0.005564754,0.318697691,0.293040901,0.071095176
SLV,El Salvador,America,Northern Hemisphere,Medium,LAC,125.0,2017,12.53785778,Latin America and Caribbean,6.002999783,0.909784496,1.182125092,0.596018553,0.43245253,0.078257985,0.08998096
SRB,Serbia,Europe,Northern Hemisphere,Very High,ECA,63.0,2017,14.76615047,Central and Eastern Europe,5.394999981,1.069317579,1.258189797,0.650784671,0.208715528,0.220125884,0.040903781
SVK,Slovakia,Europe,Northern Hemisphere,Very High,,45.0,2017,14.48703957,Central and Eastern Europe,6.09800005,1.325393558,1.505059242,0.712732911,0.295817465,0.136544481,0.024210852
SVN,Slovenia,Europe,Northern Hemisphere,Very High,,23.0,2017,17.57205963,Central and Eastern Europe,5.757999897,1.341205955,1.452518821,0.790828228,0.572575808,0.242649093,0.045128979
SWE,Sweden,Europe,Northern Hemisphere,Very High,,7.0,2017,19.48233986,Western Europe,7.28399992,1.494387269,1.478162169,0.830875158,0.612924099,0.385399252,0.384398729
TCD,Chad,Africa,Northern Hemisphere,Low,SSA,190.0,2017,7.684968888,Sub-Saharan Africa,3.936000109,0.438012987,0.953855872,0.041134715,0.162342027,0.21611385,0.053581882
TGO,Togo,Africa,Northern Hemisphere,Low,SSA,162.0,2017,12.71761036,Sub-Saharan Africa,3.494999886,0.305444717,0.43188253,0.247105569,0.380426139,0.196896151,0.095665015
THA,Thailand,Asia,Northern Hemisphere,Very High,EAP,66.0,2017,15.57729969,Southeast Asia,6.423999786,1.127868772,1.425792456,0.647239029,0.580200732,0.57212311,0.031612735
TJK,Tajikistan,Asia,Northern Hemisphere,Medium,ECA,122.0,2017,11.56513261,Commonwealth of Independent States,5.040999889,0.524713635,1.271463275,0.529235125,0.471566707,0.248997644,0.146377146
TUN,Tunisia,Africa,Northern Hemisphere,High,AS,97.0,2017,15.22488136,Middle East and North Africa,4.804999828,1.007265806,0.86835146,0.613212049,0.28968069,0.049693357,0.086723149
TZA,Tanzania,Africa,Southern Hemisphere,Low,SSA,160.0,2017,8.097599983,Sub-Saharan Africa,3.348999977,0.511135876,1.041989803,0.364509284,0.390017778,0.354256362,0.066035107
UGA,Uganda,Africa,Northern Hemisphere,Low,SSA,166.0,2017,10.40166585,Sub-Saharan Africa,4.080999851,0.381430715,1.129827738,0.217632607,0.443185955,0.325766057,0.057069719
UKR,Ukraine,Europe,Northern Hemisphere,High,ECA,77.0,2017,14.91945198,Central and Eastern Europe,4.096000195,0.894651949,1.394537568,0.575903952,0.122974776,0.270061463,0.023029471
URY,Uruguay,America,Southern Hemisphere,Very High,LAC,58.0,2017,16.83563995,Latin America and Caribbean,6.453999996,1.217559695,1.412227869,0.719216824,0.579392254,0.175096929,0.178061873
USA,United States,America,Northern Hemisphere,Very High,,21.0,2017,16.31038094,North America and ANZ,6.993000031,1.546259284,1.419920564,0.774286628,0.505740523,0.392578781,0.135638788
UZB,Uzbekistan,Asia,Northern Hemisphere,High,ECA,101.0,2017,12.05881977,Commonwealth of Independent States,5.971000195,0.786441088,1.54896915,0.498272628,0.658248663,0.415983647,0.246528223
VEN,Venezuela,America,Northern Hemisphere,Medium,LAC,120.0,2017,12.81608,Latin America and Caribbean,5.25,1.128431201,1.431337595,0.617144227,0.153997123,0.06501963,0.064491123
ZAF,South Africa,Africa,Southern Hemisphere,High,SSA,109.0,2017,13.79119968,Sub-Saharan Africa,4.828999996,1.054698706,1.384788632,0.18708007,0.479246736,0.13936238,0.072509497
ZMB,Zambia,Africa,Southern Hemisphere,Medium,SSA,154.0,2017,10.92797089,Sub-Saharan Africa,4.513999939,0.636406779,1.003187299,0.257835895,0.461603492,0.249580145,0.07821355
ZWE,Zimbabwe,Africa,Southern Hemisphere,Medium,SSA,146.0,2017,11.85394325,Sub-Saharan Africa,3.875,0.375846535,1.083095908,0.196763754,0.336384207,0.189143494,0.095375381
AFG,Afghanistan,Asia,Northern Hemisphere,Low,SA,180.0,2018,10.19754982,South Asia,3.632,0.332,0.537,0.255,0.085,0.191,0.036
ALB,Albania,Europe,Northern Hemisphere,High,ECA,67.0,2018,14.69561958,Central and Eastern Europe,4.586,0.916,0.817,0.79,0.419,0.149,0.032
ARE,United Arab Emirates,Asia,Northern Hemisphere,Very High,AS,26.0,2018,15.01912022,Middle East and North Africa,6.774,2.096,0.776,0.67,0.284,0.186,
ARG,Argentina,America,Southern Hemisphere,Very High,LAC,47.0,2018,17.65617943,Latin America and Caribbean,6.388,1.073,1.468,0.744,0.57,0.062,0.054
ARM,Armenia,Asia,Northern Hemisphere,High,ECA,85.0,2018,13.06861019,Central and Eastern Europe,4.321,0.816,0.99,0.666,0.26,0.077,0.028
AUS,Australia,Oceania,Southern Hemisphere,Very High,,5.0,2018,20.5092392,North America and ANZ,7.272,1.34,1.573,0.91,0.647,0.361,0.302
AUT,Austria,Europe,Northern Hemisphere,Very High,,25.0,2018,16.06674957,Western Europe,7.139,1.341,1.504,0.891,0.617,0.242,0.224
BEL,Belgium,Europe,Northern Hemisphere,Very High,,13.0,2018,19.5610199,Western Europe,6.927,1.324,1.483,0.894,0.583,0.188,0.24
BEN,Benin,Africa,Northern Hemisphere,Low,SSA,166.0,2018,11.6906147,Sub-Saharan Africa,4.141,0.378,0.372,0.24,0.44,0.163,0.067
BFA,Burkina Faso,Africa,Northern Hemisphere,Low,SSA,184.0,2018,9.273730278,Sub-Saharan Africa,4.424,0.314,1.097,0.254,0.312,0.175,0.128
BGD,Bangladesh,Asia,Northern Hemisphere,Medium,SA,129.0,2018,12.03569031,South Asia,4.5,0.532,0.85,0.579,0.58,0.153,0.144
BGR,Bulgaria,Europe,Northern Hemisphere,High,,68.0,2018,14.19587994,Central and Eastern Europe,4.933,1.054,1.515,0.712,0.359,0.064,0.009
BHR,Bahrain,Asia,Northern Hemisphere,Very High,AS,35.0,2018,16.25481987,Middle East and North Africa,6.105,1.338,1.366,0.698,0.594,0.243,0.123
BIH,Bosnia and Herzegovina,Europe,Northern Hemisphere,High,ECA,74.0,2018,13.78761333,Central and Eastern Europe,5.129,0.915,1.078,0.758,0.28,0.216,0.0
BOL,Bolivia,America,Southern Hemisphere,Medium,LAC,118.0,2018,15.01584721,Latin America and Caribbean,5.752,0.751,1.223,0.508,0.606,0.141,0.054
BRA,Brazil,America,Southern Hemisphere,High,LAC,87.0,2018,15.70306015,Latin America and Caribbean,6.419,0.986,1.474,0.675,0.493,0.11,0.088
BWA,Botswana,Africa,Southern Hemisphere,Medium,SSA,117.0,2018,12.27946483,Sub-Saharan Africa,3.59,1.017,1.174,0.417,0.557,0.042,0.092
CAN,Canada,America,Northern Hemisphere,Very High,,15.0,2018,16.22464943,North America and ANZ,7.328,1.33,1.532,0.896,0.653,0.321,0.291
CHE,Switzerland,Europe,Northern Hemisphere,Very High,,1.0,2018,16.41327095,Western Europe,7.487,1.42,1.549,0.927,0.66,0.256,0.357
CHL,Chile,America,Southern Hemisphere,Very High,LAC,42.0,2018,16.58595085,Latin America and Caribbean,6.476,1.131,1.331,0.808,0.431,0.197,0.061
CHN,China,Asia,Northern Hemisphere,High,EAP,79.0,2018,14.03231,East Asia,5.246,0.989,1.142,0.799,0.597,0.029,0.103
CIV,Ivory Coast,Africa,Northern Hemisphere,Medium,SSA,159.0,2018,10.21954966,Sub-Saharan Africa,4.671,0.541,0.872,0.08,0.467,0.146,0.103
CMR,Cameroon,Africa,Northern Hemisphere,Medium,SSA,151.0,2018,12.76488609,Sub-Saharan Africa,4.975,0.535,0.891,0.182,0.454,0.183,0.043
COL,Colombia,America,Northern Hemisphere,High,LAC,88.0,2018,14.39857006,Latin America and Caribbean,6.26,0.96,1.439,0.635,0.531,0.099,0.039
CRI,Costa Rica,America,Northern Hemisphere,Very High,LAC,58.0,2018,15.8667202,Latin America and Caribbean,7.072,1.01,1.459,0.817,0.632,0.143,0.101
DEU,Germany,Europe,Northern Hemisphere,Very High,,9.0,2018,16.93209076,Western Europe,6.965,1.34,1.474,0.861,0.586,0.273,0.28
DNK,Denmark,Europe,Northern Hemisphere,Very High,,6.0,2018,18.79369926,Western Europe,7.555,1.351,1.59,0.868,0.683,0.284,0.408
DOM,Dominican Republic,America,Northern Hemisphere,High,LAC,80.0,2018,14.34401997,Latin America and Caribbean,5.302,0.982,1.441,0.614,0.578,0.12,0.106
DZA,Algeria,Africa,Northern Hemisphere,High,AS,91.0,2018,14.57779338,Middle East and North Africa,5.295,0.979,1.154,0.687,0.077,0.055,0.135
ECU,Ecuador,America,Southern Hemisphere,High,LAC,95.0,2018,14.83316994,Latin America and Caribbean,5.973,0.889,1.33,0.736,0.556,0.114,0.12
EGY,Egypt,Africa,Northern Hemisphere,High,AS,97.0,2018,13.60529995,Middle East and North Africa,4.419,0.885,1.025,0.553,0.312,0.092,0.107
ESP,Spain,Europe,Northern Hemisphere,Very High,,27.0,2018,17.75741005,Western Europe,6.31,1.251,1.538,0.965,0.449,0.142,0.074
EST,Estonia,Europe,Northern Hemisphere,Very High,,31.0,2018,15.91049004,Central and Eastern Europe,5.739,1.2,1.532,0.737,0.553,0.086,0.174
ETH,Ethiopia,Africa,Northern Hemisphere,Low,SSA,175.0,2018,9.462476818,Sub-Saharan Africa,4.35,0.308,0.95,0.391,0.452,0.22,0.146
FIN,Finland,Europe,Northern Hemisphere,Very High,,11.0,2018,19.47599983,Western Europe,7.632,1.305,1.592,0.874,0.681,0.202,0.393
FRA,France,Europe,Northern Hemisphere,Very High,,28.0,2018,15.74300957,Western Europe,6.489,1.293,1.466,0.908,0.52,0.098,0.176
GAB,Gabon,Africa,Southern Hemisphere,High,SSA,112.0,2018,12.9,Sub-Saharan Africa,4.758,1.036,1.164,0.404,0.356,0.032,0.052
GBR,United Kingdom,Europe,Northern Hemisphere,Very High,,18.0,2018,17.24805069,Western Europe,7.19,1.244,1.433,0.888,0.464,0.262,0.082
GEO,Georgia,Asia,Northern Hemisphere,Very High,ECA,63.0,2018,15.2750597,Central and Eastern Europe,4.34,0.853,0.592,0.643,0.375,0.038,0.215
GHA,Ghana,Africa,Northern Hemisphere,Medium,SSA,133.0,2018,11.48332977,Sub-Saharan Africa,4.657,0.592,0.896,0.337,0.499,0.212,0.029
GIN,Guinea,Africa,Northern Hemisphere,Low,SSA,182.0,2018,9.640652849,Sub-Saharan Africa,3.964,0.344,0.792,0.211,0.394,0.185,0.094
GRC,Greece,Europe,Northern Hemisphere,Very High,,33.0,2018,19.50020027,Western Europe,5.358,1.154,1.202,0.879,0.131,0.0,0.044
GTM,Guatemala,America,Northern Hemisphere,Medium,LAC,135.0,2018,10.61000776,Latin America and Caribbean,6.382,0.781,1.268,0.608,0.604,0.179,0.071
HND,Honduras,America,Northern Hemisphere,Medium,LAC,137.0,2018,9.838728904,Latin America and Caribbean,5.504,0.62,1.205,0.622,0.459,0.197,0.074
HRV,Croatia,Europe,Northern Hemisphere,Very High,,40.0,2018,15.18179035,Central and Eastern Europe,5.321,1.115,1.161,0.737,0.38,0.12,0.039
HUN,Hungary,Europe,Northern Hemisphere,Very High,,46.0,2018,15.12946033,Central and Eastern Europe,5.62,1.171,1.401,0.732,0.259,0.061,0.022
IDN,Indonesia,Asia,Southern Hemisphere,High,EAP,114.0,2018,13.60698032,Southeast Asia,5.093,0.899,1.215,0.522,0.538,0.484,0.018
IND,India,Asia,Northern Hemisphere,Medium,SA,132.0,2018,11.81347513,South Asia,4.19,0.721,0.747,0.485,0.539,0.172,0.093
IRL,Ireland,Europe,Northern Hemisphere,Very High,,8.0,2018,19.75616074,Western Europe,6.977,1.448,1.583,0.876,0.614,0.307,0.306
IRN,Iran,Asia,Northern Hemisphere,High,SA,76.0,2018,14.74757004,Middle East and North Africa,4.707,1.059,0.771,0.691,0.459,0.282,0.129
IRQ,Iraq,Asia,Northern Hemisphere,Medium,AS,121.0,2018,11.95379925,Middle East and North Africa,4.456,1.01,0.971,0.536,0.304,0.148,0.095
ISL,Iceland,Europe,Northern Hemisphere,Very High,,3.0,2018,19.17563057,Western Europe,7.495,1.343,1.644,0.914,0.677,0.353,0.138
ISR,Israel,Asia,Northern Hemisphere,Very High,,22.0,2018,16.1252594,Middle East and North Africa,6.814,1.301,1.559,0.883,0.533,0.354,0.272
ITA,Italy,Europe,Northern Hemisphere,Very High,,30.0,2018,16.17503929,Western Europe,6.0,1.264,1.501,0.946,0.281,0.137,0.028
JAM,Jamaica,America,Northern Hemisphere,High,LAC,110.0,2018,13.332418,Latin America and Caribbean,5.89,0.819,1.493,0.693,0.575,0.096,0.031
JOR,Jordan,Asia,Northern Hemisphere,High,AS,102.0,2018,10.41676998,Middle East and North Africa,5.161,0.822,1.265,0.645,0.468,0.13,0.134
JPN,Japan,Asia,Northern Hemisphere,Very High,,19.0,2018,15.1905,East Asia,5.915,1.294,1.462,0.988,0.553,0.079,0.15
KAZ,Kazakhstan,Asia,Northern Hemisphere,Very High,ECA,56.0,2018,15.44011021,Commonwealth of Independent States,5.79,1.143,1.516,0.631,0.454,0.148,0.121
KEN,Kenya,Africa,Northern Hemisphere,Medium,SSA,152.0,2018,10.65468781,Sub-Saharan Africa,4.41,0.493,1.048,0.454,0.504,0.352,0.055
KGZ,Kyrgyzstan,Asia,Northern Hemisphere,Medium,ECA,118.0,2018,12.96755981,Commonwealth of Independent States,5.131,0.53,1.416,0.594,0.54,0.281,0.035
KHM,Cambodia,Asia,Northern Hemisphere,Medium,EAP,146.0,2018,11.33676945,Southeast Asia,4.433,0.549,1.088,0.457,0.696,0.256,0.065
KOR,South Korea,Asia,Northern Hemisphere,Very High,,19.0,2018,16.49395943,East Asia,5.875,1.266,1.204,0.955,0.244,0.175,0.051
LBN,Lebanon,Asia,Northern Hemisphere,High,AS,112.0,2018,11.28587,Middle East and North Africa,5.358,0.965,1.179,0.785,0.503,0.214,0.136
LBR,Liberia,Africa,Northern Hemisphere,Low,SSA,178.0,2018,10.27304866,Sub-Saharan Africa,3.495,0.076,0.858,0.267,0.419,0.206,0.03
LKA,Sri Lanka,Asia,Northern Hemisphere,High,SA,73.0,2018,14.11106968,South Asia,4.471,0.918,1.314,0.672,0.585,0.307,0.05
LTU,Lithuania,Europe,Northern Hemisphere,Very High,,35.0,2018,16.56925011,Central and Eastern Europe,5.952,1.197,1.527,0.716,0.35,0.026,0.006
LUX,Luxembourg,Europe,Northern Hemisphere,Very High,,17.0,2018,14.31532001,Western Europe,6.91,1.576,1.52,0.896,0.632,0.196,0.321
LVA,Latvia,Europe,Northern Hemisphere,Very High,,39.0,2018,16.23089027,Central and Eastern Europe,5.933,1.148,1.454,0.671,0.363,0.092,0.066
MAR,Morocco,Africa,Northern Hemisphere,Medium,AS,123.0,2018,13.72161961,Middle East and North Africa,5.254,0.779,0.797,0.669,0.46,0.026,0.074
MDA,Moldova,Europe,Northern Hemisphere,High,ECA,80.0,2018,14.39253044,Central and Eastern Europe,5.64,0.657,1.301,0.62,0.232,0.171,0.0
MDG,Madagascar,Africa,Southern Hemisphere,Low,SSA,173.0,2018,10.17391968,Sub-Saharan Africa,3.774,0.262,0.908,0.402,0.221,0.155,0.049
MEX,Mexico,America,Northern Hemisphere,High,LAC,86.0,2018,14.8653698,Latin America and Caribbean,6.488,1.038,1.252,0.761,0.479,0.069,0.095
MKD,North Macedonia,Europe,Northern Hemisphere,High,ECA,78.0,2018,13.50732994,Central and Eastern Europe,5.185,0.959,1.239,0.691,0.394,0.173,0.052
MLI,Mali,Africa,Northern Hemisphere,Low,SSA,186.0,2018,7.442024549,Sub-Saharan Africa,4.447,0.37,1.233,0.152,0.367,0.139,0.056
MLT,Malta,Europe,Northern Hemisphere,Very High,,23.0,2018,16.58428001,Western Europe,6.627,1.27,1.525,0.884,0.645,0.376,0.142
MMR,Myanmar,Asia,Northern Hemisphere,Medium,EAP,149.0,2018,10.6702404,Southeast Asia,4.308,0.682,1.174,0.429,0.58,0.598,0.178
MNE,Montenegro,Europe,Northern Hemisphere,Very High,ECA,49.0,2018,14.99967957,Central and Eastern Europe,5.347,1.017,1.279,0.729,0.259,0.111,0.081
MNG,Mongolia,Asia,Northern Hemisphere,High,EAP,96.0,2018,14.93639851,East Asia,5.125,0.914,1.517,0.575,0.395,0.253,0.032
MRT,Mauritania,Africa,Northern Hemisphere,Medium,SSA,158.0,2018,9.106389999,Sub-Saharan Africa,4.356,0.557,1.245,0.292,0.129,0.134,0.093
MUS,Mauritius,Africa,Southern Hemisphere,Very High,SSA,63.0,2018,15.11495162,Sub-Saharan Africa,5.891,1.09,1.387,0.684,0.584,0.245,0.05
MWI,Malawi,Africa,Southern Hemisphere,Low,SSA,169.0,2018,12.4431407,Sub-Saharan Africa,3.587,0.186,0.541,0.306,0.531,0.21,0.08
MYS,Malaysia,Asia,Northern Hemisphere,Very High,EAP,62.0,2018,13.54508018,Southeast Asia,6.322,1.161,1.258,0.669,0.356,0.311,0.059
NER,Niger,Africa,Northern Hemisphere,Low,SSA,189.0,2018,6.67627276,Sub-Saharan Africa,4.166,0.131,0.867,0.221,0.39,0.175,0.099
NGA,Nigeria,Africa,Northern Hemisphere,Low,SSA,163.0,2018,9.937831,Sub-Saharan Africa,5.155,0.689,1.172,0.048,0.462,0.201,0.032
NIC,Nicaragua,America,Northern Hemisphere,Medium,LAC,126.0,2018,12.43261063,Latin America and Caribbean,6.141,0.668,1.319,0.7,0.527,0.208,0.128
NLD,Netherlands,Europe,Northern Hemisphere,Very High,,10.0,2018,18.5599308,Western Europe,7.441,1.361,1.488,0.878,0.638,0.333,0.295
NOR,Norway,Europe,Northern Hemisphere,Very High,,2.0,2018,18.12005043,Western Europe,7.594,1.456,1.582,0.861,0.686,0.286,0.34
NPL,Nepal,Asia,Northern Hemisphere,Medium,SA,143.0,2018,12.95372534,South Asia,4.88,0.425,1.228,0.539,0.526,0.302,0.078
NZL,New Zealand,Oceania,Southern Hemisphere,Very High,,13.0,2018,18.87854958,North America and ANZ,7.324,1.268,1.601,0.876,0.669,0.365,0.389
PAK,Pakistan,Asia,Northern Hemisphere,Low,SA,161.0,2018,8.275939941,South Asia,5.472,0.652,0.81,0.424,0.334,0.216,0.113
PAN,Panama,America,Northern Hemisphere,Very High,LAC,61.0,2018,13.0069239,Latin America and Caribbean,6.43,1.112,1.438,0.759,0.597,0.125,0.063
PER,Peru,America,Southern Hemisphere,High,LAC,84.0,2018,15.18792464,Latin America and Caribbean,5.663,0.934,1.249,0.674,0.53,0.092,0.034
PHL,Philippines,Asia,Northern Hemisphere,Medium,EAP,116.0,2018,13.19219971,Southeast Asia,5.524,0.775,1.312,0.513,0.643,0.12,0.105
POL,Poland,Europe,Northern Hemisphere,Very High,,34.0,2018,16.02598953,Central and Eastern Europe,6.123,1.176,1.448,0.781,0.546,0.108,0.064
PRT,Portugal,Europe,Northern Hemisphere,Very High,,38.0,2018,16.72011948,Western Europe,5.41,1.188,1.429,0.884,0.562,0.055,0.017
PRY,Paraguay,America,Southern Hemisphere,High,LAC,105.0,2018,12.75262838,Latin America and Caribbean,5.681,0.835,1.522,0.615,0.541,0.162,0.074
ROU,Romania,Europe,Northern Hemisphere,Very High,,53.0,2018,14.27499962,Central and Eastern Europe,5.945,1.116,1.219,0.726,0.528,0.088,0.001
SAU,Saudi Arabia,Asia,Northern Hemisphere,Very High,AS,35.0,2018,15.67512989,Middle East and North Africa,6.371,1.379,1.331,0.633,0.509,0.098,0.127
SEN,Senegal,Africa,Northern Hemisphere,Low,SSA,170.0,2018,8.95061779,Sub-Saharan Africa,4.631,0.429,1.117,0.433,0.406,0.138,0.082
SGP,Singapore,Asia,Northern Hemisphere,Very High,EAP,12.0,2018,16.51959038,Southeast Asia,6.343,1.529,1.451,1.008,0.631,0.261,0.457
SLE,Sierra Leone,Africa,Northern Hemisphere,Low,SSA,181.0,2018,9.509414262,Sub-Saharan Africa,4.571,0.256,0.813,0.0,0.355,0.238,0.053
SLV,El Salvador,America,Northern Hemisphere,Medium,LAC,125.0,2018,12.71449047,Latin America and Caribbean,6.167,0.806,1.231,0.639,0.461,0.065,0.082
SRB,Serbia,Europe,Northern Hemisphere,Very High,ECA,63.0,2018,14.73746967,Central and Eastern Europe,5.398,0.975,1.369,0.685,0.288,0.134,0.043
SVK,Slovakia,Europe,Northern Hemisphere,Very High,,45.0,2018,14.48058033,Central and Eastern Europe,6.173,1.21,1.537,0.776,0.354,0.118,0.014
SVN,Slovenia,Europe,Northern Hemisphere,Very High,,23.0,2018,17.59638023,Central and Eastern Europe,5.948,1.219,1.506,0.856,0.633,0.16,0.051
SWE,Sweden,Europe,Northern Hemisphere,Very High,,7.0,2018,19.69101906,Western Europe,7.314,1.355,1.501,0.913,0.659,0.285,0.383
TCD,Chad,Africa,Northern Hemisphere,Low,SSA,190.0,2018,7.858482783,Sub-Saharan Africa,4.301,0.358,0.907,0.053,0.189,0.181,0.06
TGO,Togo,Africa,Northern Hemisphere,Low,SSA,162.0,2018,12.83352383,Sub-Saharan Africa,3.999,0.259,0.474,0.253,0.434,0.158,0.101
THA,Thailand,Asia,Northern Hemisphere,Very High,EAP,66.0,2018,15.72975941,Southeast Asia,6.072,1.016,1.417,0.707,0.637,0.364,0.029
TJK,Tajikistan,Asia,Northern Hemisphere,Medium,ECA,122.0,2018,11.60900119,Commonwealth of Independent States,5.199,0.474,1.166,0.598,0.292,0.187,0.034
TUN,Tunisia,Africa,Northern Hemisphere,High,AS,97.0,2018,15.3248039,Middle East and North Africa,4.592,0.9,0.906,0.69,0.271,0.04,0.063
TZA,Tanzania,Africa,Southern Hemisphere,Low,SSA,160.0,2018,8.479839802,Sub-Saharan Africa,3.303,0.455,0.991,0.381,0.481,0.27,0.097
UGA,Uganda,Africa,Northern Hemisphere,Low,SSA,166.0,2018,10.27499662,Sub-Saharan Africa,4.161,0.322,1.09,0.237,0.45,0.259,0.061
UKR,Ukraine,Europe,Northern Hemisphere,High,ECA,77.0,2018,14.93799873,Central and Eastern Europe,4.103,0.793,1.413,0.609,0.163,0.187,0.011
URY,Uruguay,America,Southern Hemisphere,Very High,LAC,58.0,2018,16.72912025,Latin America and Caribbean,6.379,1.093,1.459,0.771,0.625,0.13,0.155
